RNEC Number,EudraCT Number,Protocol Number,Type of Study,Sponsor's Name,Title of the trial,Recruitment Status,Date of Global End,Infarmed Authorization Date,CEC Opinion Date,Non-technical title,Paediatric Investigation Plan,Medical condition(s),Therapeutic Confirmatory (Phase II),Therapeutic Confirmatory (Phase III),Therapeutic Confirmatory (Phase IV),Age_Range,Gender
1941,2016-004152-30,M15-554,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Phase 3, Randomized, Double-Blind, Study Comparing Upadacitinib  (ABT-494) to Placebo in Subjects with Active Psoriatic Arthritis Who Have a History of Inadequate Response to at Least One Biologic Disease Modifying Anti-Rheumatic Drug (bDMARD) ¿ SELECT ¿ PsA 2",Ended,,19/07/2017,18/09/2017,A Study Comparing ABT-494 to Placebo in Subjects with Psoriatic Arthritis Who Have an Inadequate Response to at Least One Biologic Disease Modifying Anti-Rheumatic Drug,No,Moderately to Severely Active Psoriatic Arthritis,,Yes,,"Adult , Elderly","Female , Male"
1961,2015-004105-16,MO29872,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, OPEN-LABEL, MULTICENTER, RANDOMIZED STUDY TO INVESTIGATE THE EFFICACY AND SAFETY OF ATEZOLIZUMAB COMPARED WITH CHEMOTHERAPY IN PATIENTS WITH TREATMENT-NAÏVE ADVANCED OR RECURRENT (STAGE IIIB NOT AMENABLE FOR MULTIMODALITY TREATMENT) OR METASTATIC (STAGE IV) NON-SMALL CELL LUNG CANCER WHO ARE DEEMED UNSUITABLE FOR PLATINUM-CONTAINING THERAPY",Active,,20/07/2017,18/09/2017,A Study to Investigate the Efficacy and Safety of Atezolizumab Compared With Chemotherapy in Patients with Treatment-Naïve Advanced or Recurrent (Stage IIIB Not Amenable For Multimodality Treatment) or Metastatic (Stage IV) Non-Small Cell Lung Cancer Who Are Deemed Unsuitable For Platinum-Containing Therapy,No,Non-small cell lung cancer,,Yes,,"Adult , Elderly","Female , Male"
1981,2015-002801-12,ONT-380-206,Interventional studies with investigational medicinal products,Seagen Inc.,"Phase 2 Randomized, Double-Blinded, Controlled Study of Tucatinib vs. Placebo in Combination with Capecitabine and Trastuzumab in
Patients with Pretreated Unresectable Locally Advanced or Metastatic HER2+ Breast Carcinoma (HER2CLIMB)",Active,,03/11/2017,29/01/2018,A clinical trial comparing tucatinib against placebo in patients who have advanced breast cancer and are being treated with capecitabine and trastuzamab,No,Pretreated Unresectable Locally Advanced or Metastatic HER2+ Breast Carcinoma,Yes,,,"Adult , Elderly","Female , Male"
2061,2017-000538-78,INCB39110-301,Interventional studies with investigational medicinal products,Incyte Biosciences UK Ltd,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft Versus-Host Disease",Not Commenced,,27/07/2017,18/09/2017,A study evaluating safety and efficacy of Itacitinib or Placebo in combination with corticosteroids for the treatment of first-line acute graft versus-host disease,No,"Male or female, 18 years of age or older who have received an allogeneic hematopoietic stem cell transplant (allo-HSCT) and have developed Grade II to IV acute GVHD",,Yes,,"Adult , Elderly","Female , Male"
2081,2014-003527-22,CINC424A2X01B,Interventional studies with investigational medicinal products,Novartis Pharma AG,"An open label, multi-center, Phase IV roll-over protocol for patients who have completed a prior global Novartis or Incyte sponsored ruxolitinib (INC424) study or ruxolitinib and panobinostat (LBH589) combination study and are judged by the investigator to benefit from continued treatment",Ended,,17/10/2017,28/08/2017,A study for patients who have completed a prior global Novartis or Incyte sponsored ruxolitinib (INC424) study or ruxolitinib and panobinostat (LBH589) combination study and are judged by the investigator to benefit from continued treatment,No,This roll-over study is designed to accept patients with varied disease origins. Please refer to the parent protocol for the disease background information and rationale for use of ruxolitinib in their individual indications.,,,Yes,"Under 18 , Adult , Elderly","Female , Male"
2101,2014-002606-20,CV185-325/B0661037,Interventional studies with investigational medicinal products,Bristol-Myers Squibb International Corporation,"A RANDOMIZED, OPEN-LABEL, ACTIVE CONTROLLED, SAFETY AND DESCRIPTIVE EFFICACY STUDY IN PEDIATRIC SUBJECTS REQUIRING ANTICOAGULATION FOR THE TREATMENT OF A VENOUS THROMBOEMBOLIC EVENT",Not Commenced,,20/12/2017,03/05/2018,"A RANDOMIZED, OPEN-LABEL, ACTIVE CONTROLLED, SAFETY AND DESCRIPTIVE EFFICACY STUDY IN PEDIATRIC SUBJECTS REQUIRING ANTICOAGULATION FOR THE TREATMENT OF A VENOUS THROMBOEMBOLIC EVENT",Yes,Venous Thromboembolism,,Yes,,Under 18,"Female , Male"
2181,2016-002761-63,HPV-301,Interventional studies with investigational medicinal products,"Inovio Pharmaceuticals, Inc","A PROSPECTIVE, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED PHASE 3 STUDY OF VGX-3100 DELIVERED INTRAMUSCULARLY FOLLOWED BY ELECTROPORATION WITH CELLECTRA¿ 5PSP FOR THE TREATMENT OF HPV-16 AND/OR HPV-18 RELATED HIGH GRADE SQUAMOUS INTRAEPITHELIAL LESION (HSIL) OF THE CERVIX",,,11/12/2017,29/01/2018,A vaccine and a device used together to treat women with precancerous cells on the cervix caused by human papillomavirus (HPV).,No,HPV-16 AND/OR HPV-18 RELATED HIGH GRADE SQUAMOUS INTRAEPITHELIAL LESIONS (HSIL) OF THE CERVIX,,Yes,,Adult,Female
2201,2017-000431-14,M16-098,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Multicenter, Randomized, Double-Blind, Placebo Controlled Study Evaluating the Safety and Efficacy of Upadacitinib in Subjects with Active Ankylosing Spondylitis",Ended,,14/08/2017,09/10/2017,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of Upadacitinib in Subjects with Active Ankylosing Spondylitis",No,Active Ankylosing Spondylitis,Yes,Yes,,"Adult , Elderly","Female , Male"
2241,2014-005012-42,747-302,Interventional studies with investigational medicinal products,Intercept Pharmaceuticals Inc,"A Phase 4, Double Blind, Randomized, Placebo Controlled, Multicenter Study Evaluating the Effect of Obeticholic Acid on Clinical Outcomes in Subjects with Primary Biliary Cholangitis.              
The COBALT Study Clinical Outcomes with OBeticholic Acid in Liver Treatment (COBALT).

",Ended,,29/11/2017,01/02/2018,"A Phase 4 clinical trial to measure the effect of Obeticholic acid against a placebo, in conjunction with standard treatment, on selected clinical measurements in patients with the liver disease, Primary Biliary Cholangitis.
The COBALT Study Clinical Outcomes with OBeticholic Acid in Liver Treatment (COBALT).

",No,Primary Biliary Cholangitis,,,Yes,"Adult , Elderly","Female , Male"
2262,2016-001463-36,ALN-AT3SC-003,Interventional studies with investigational medicinal products,Genzyme Corporation,"ATLAS-INH: A Phase 3 study to evaluate the efficacy and safety of fitusiran (ALN-AT3SC) in patients with hemophilia A or B, with inhibitory antibodies to factor VIII or IX",Active,,08/05/2018,06/06/2018,A Study of fitusiran (ALN-AT3SC) in hemophilia A and B patients with inhibitors ,No,Hemophilia A or Hemophilia B,,Yes,,"Under 18 , Adult , Elderly",Male
2281,2016-001464-11,ALN-AT3SC-004,Interventional studies with investigational medicinal products,"Alnylam Pharmaceuticals, Inc.","ATLAS-A/B: A Phase 3 study to evaluate the efficacy and safety of fitusiran in patients with hemophilia A or B, without inhibitory antibodies to factor VIII or IX",Active,,08/05/2018,06/06/2018,A study of fitusiran (ALN-AT3SC) in hemophilia A and B patients without inhibitors,No,Hemophilia A or Hemophilia B,,Yes,,"Under 18 , Adult , Elderly",Male
2301,2016-002584-33,CINC424C2301,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A phase III randomized open-label multi-center study of ruxolitinib vs. best available therapy in patients with corticosteroid-refractory acute graft vs. host disease after allogenic stem cell transplantation 
",Ended,,13/11/2017,22/12/2017,Safety and efficacy of ruxolitinib versus best available therapy in patients with corticosteroid-refractory acute graft vs. host disease after allogeneic stem cell transplantation,No,corticosteroid-refractory acute graft vs. host disease after allogeneic stem cell transplantation ,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
2321,2014-000565-47,BAY59-7939/14372,Interventional studies with investigational medicinal products,   Bayer A.G.                                                                                       ,"Multicenter, open-label, active-controlled, randomized study to evaluate the efficacy and safety of an age-and body weight-adjusted rivaroxaban regimen compared to standard of care in children with acute venous thromboembolism",,,29/01/2018,27/02/2018,Rivaroxaban for treatment in venous thrombosis in children,Yes,Venous Thrombosis,,Yes,,Under 18,"Female , Male"
2341,2016-004432-38,CINC424D2301,Interventional studies with investigational medicinal products,Novartis Pharma AG,A phase III randomized open-label multi-center study of ruxolitinib vs. best available therapy in patients with corticosteroid-refractory chronic graft versus host disease after allogenic stem cell transplantation,Active,,13/11/2017,21/12/2017,Study of efficacy and safety of ruxolitinib vs. best available therapy (BAT) in patients with corticosteroid refractory chronic graft versus host disease after bone marrow transplantation,No,corticosteroid refractory chronic Graft vs Host Disease,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
2401,2017-001724-22,GA39688,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, RANDOMIZED, MULTICENTER, DOUBLE-BLIND, PLACEBO-CONTROLLED CLINICAL TRIAL OF OMALIZUMAB IN PATIENTS WITH CHRONIC RHINOSINUSITIS WITH NASAL POLYPS",Active,,25/01/2018,08/01/2018,A Phase 3 Clinical Trial of Omalizumab for Chronic Rhinosinusitus with Nasal Polyps,No,Chronic rhinosinusitis with nasal polyps,,Yes,,"Adult , Elderly","Female , Male"
2421,2017-002821-39,MCLA-128-CL02,Interventional studies with investigational medicinal products,Merus N.V.,Phase 2 study of MCLA-128-based combinations in metastatic breast cancer (MBC): MCLA-128/trastuzumab/chemotherapy in HER2-positive MBC and MCLA-128/endocrine therapy in estrogen receptor positive and low HER2 expression MBC,Ended,,11/12/2017,02/04/2018,Phase 2 study of MCLA-128-based combinations in metastatic breast cancer (MBC) : with endocrine therapy for patients with presenting high expression of hormone receptors or with trastuzumab/chemotherapy for patients presenting a high expression of a specific receptor (HER2) ,No,Metastatic Breast Cancer,Yes,,,"Adult , Elderly",Female
2582,2017-001588-19,MVT-601-3101,Interventional studies with investigational medicinal products,Myovant Sciences GmbH,"SPIRIT 1: An International Phase 3 Randomized, Double-Blind, Placebo-Controlled Efficacy and Safety Study to Evaluate Relugolix Administered with and without Low-Dose Estradiol and Norethindrone Acetate in Women with Endometriosis-Associated Pain",Active,,05/12/2017,31/01/2018,A study to evaluate the efficacy and safety of Relugolix in Women with Endometriosis-Associated Pain,No,Endometriosis,,Yes,,Adult,Female
2601,2017-000284-32,SHP634-401,Interventional studies with investigational medicinal products,"Shire Human Genetic Therapies, Inc.","A Randomized, Double-blind, Placebo-controlled, Adaptive Study to Evaluate Symptom Improvement and Metabolic Control Among Adult Subjects With Symptomatic Hypoparathyroidism Treated With Recombinant Human Parathyroid Hormone [rhPTH(1-84)]",Active,,21/02/2018,02/04/2018,"Symptom Improvement Evaluation and Metabolic control among Adult Subjects with Symptomatic Hypoparathyroidism Treated with Recombinant
Human Parathyroid hormone [rhPTH(1-84)]
",No,Hypoparathyroidism,,Yes,Yes,"Adult , Elderly","Female , Male"
2621,2016-002976-28,CCNP520A2202J,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A randomized, double-blind, placebo-controlled, parallel group study to evaluate the efficacy and safety of CNP520 in participants at risk for the onset of clinical symptoms of Alzheimer¿s Disease (AD)",Ended,,12/12/2017,02/04/2018,To evaluate the efficacy and safety of CNP520 in participants at risk for the onset of clinical symptoms of Alzheimer¿s Disease (AD),No,Alzheimer's disease,Yes,Yes,,"Adult , Elderly","Female , Male"
2641,2017-000905-19,Rec0/0438-IT-CL0491,Interventional studies with investigational medicinal products,Recordati Spa,"EFFECTS OF TWO DIFFERENT DOSES OF REC 0/0438  ADMINISTERED BY INTRA-VESICAL INSTILLATION IN PATIENTS WITH NEUROGENIC DETRUSOR OVERACTIVITY DUE TO SPINAL CORD INJURY: A REPEATED DOSES, DOUBLE-BLIND, PLACEBO CONTROLLED STUDY
",Not Commenced,,11/12/2017,30/01/2018,A study in male and female patients with neurogenic detrusor overactivity due to spinal cord injury to evaluate the effects of two different doses of REC 0/0438 administered by intra-vesical injection.,No,neurogenic detrusor overactivity due to spinal cord injury,Yes,,,Adult,"Female , Male"
2642,2017-002238-21,EFC12522,Interventional studies with investigational medicinal products,Sanofi-aventis recherche & développement,"A Phase 3 randomized, open-label, multicenter study assessing the clinical benefit of isatuximab (SAR650984) in combination with bortezomib (Velcade®), lenalidomide and dexamethasone versus bortezomib, lenalidomide and dexamethasone in patients with newly diagnosed multiple myeloma not eligible for transplant",Not Commenced,,18/12/2017,15/02/2018,"Clinical Benefit of SAR650984, Bortezomib, Lenalidomide and Dexamethasone Combination in NDMM Patients Not Eligible for Transplant ",No,Plasma cell myeloma,,Yes,,"Adult , Elderly","Female , Male"
2662,2017-002644-32,EFC14875,Interventional studies with investigational medicinal products,"Lexicon Pharmaceuticals, Inc.","A Randomized, Double-blind, Placebo-controlled, Parallel-group, Multicenter Study to Demonstrate the Effects of Sotagliflozin on Cardiovascular and Renal Events in Patients with Type 2 Diabetes, Cardiovascular Risk Factors and Moderately Impaired Renal Function",Not Commenced,,06/03/2018,19/02/2018,"Effect of Sotagliflozin on Cardiovascular and Renal Events in Patients with Type 2 Diabetes and Moderate Renal Impairment Who Are at Cardiovascular Risk
",No,"Type 2 diabetes mellitus
Chronic kidney disease",,Yes,,"Adult , Elderly","Female , Male"
